Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,eux,them
16,16,ville,city
18,18,parlé,speak
19,19,arrivé,come
20,20,devrait,should
21,21,longtemps,long time
22,22,heures,hours
23,23,vont,will
25,25,revoir,meet again
26,26,aucune,any
27,27,place,square
28,28,parle,speak
29,29,compris,understood
30,30,savais,knew
31,31,étaient,were
32,32,attention,Warning
33,33,voici,here is
34,34,affaire,case
36,36,type,type
37,37,leurs,their
38,38,donné,given
39,39,train,train
40,40,corps,body
41,41,endroit,place
42,42,yeux,eyes
43,43,façon,way
44,44,dont,whose
45,45,trouve,find
46,46,premier,first
47,48,main,hand
48,49,première,first
49,51,pouvoir,power
50,52,vieux,old
51,53,sois,be
52,54,tiens,here
53,55,matin,morning
54,56,tellement,so much
55,57,point,point
56,58,venu,came
57,59,suite,after
58,60,pardon,sorry
59,61,venez,come
60,62,devant,in front of
61,63,vers,towards
62,64,minutes,minutes
63,65,droit,law
64,66,aujourd'hui,today
65,67,mari,husband
66,68,cause,cause
67,69,espère,hope
68,70,eau,water
69,71,attendez,Wait
70,72,nouvelle,new
71,73,boulot,job
72,74,arrêter,Stop
74,76,compte,account
75,77,donne,given
76,78,loin,far
77,79,fin,end
78,80,croire,believe
79,81,chérie,sweetheart
80,82,gros,large
81,83,plutôt,rather
82,84,aura,will have
83,85,filles,girls
84,86,jouer,to play
85,87,bureau,office
